weight,y,sigma_y,Temperature,sigma_T,Observed_field,IceMu,EAnxt,ymin,ymax,xmin,xmax,ticks
0.5,-0.0415,0.0009275,32,0.1,1.13E+08,0.4326,-2820000000,-0.06,-0.01,25,70,0
1,-0.0429,0.0009152,36,0.1,1.15E+08,,,0,180000000,25,70,-0.05
1,-0.0418,0.000884,40,0.1,1.12E+08,,,,,,,-0.1
1,-0.0397,0.0009138,44,0.1,1.06E+08,,,,,,,-0.15
1,-0.0368,0.000869,48,0.1,9.85E+07,,,,,,,-0.2
1,-0.0336,0.000672,52,0.1,9.00E+07,,,,,,,-0.25
1,-0.0323,0.000646,56,0.1,8.65E+07,,,,,,,-0.3
1,-0.0257,0.000514,60,0.1,6.87E+07,,,,,,,-0.35
1,-0.024863356,0.000497267,64,0.1,6.66E+07,,,,,,,
1,-0.018779741,0.000375595,68,0.1,5.03E+07,,,,,,,
1,-0.019044291,0.000380886,72,0.1,5.10E+07,,,,,,,
1,-0.014283218,0.000285664,80,0.1,3.83E+07,,,,,,,
1,-0.010844689,0.000216894,88,0.1,2.91E+07,,,,,,,
1,-0.006612509,0.00013225,96,0.1,1.77E+07,,,,,,,
